site_name,wgt,muname,slopegradwta,wtdepannmin
West,0.28075554927948465,"Nicollet loam, 1 to 3 percent slopes",2.1,50
West,0.20979336036526733,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",3.5,150
West,0.20824003281488504,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",1,15
West,0.19820056081176493,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",0.9,15
West,0.10301049672859804,"Clarion loam, Bemis moraine, 2 to 6 percent slopes, moderately eroded",3.5,150
