comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
90,95,100,Readlyn,Series,Yes,,,1,2,3,75,123,165,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,160,280,400,0,180,360,interfluves on till plains,NA,0.16,NA,6,9,12,580,735,1040,NA,NA,NA,155,180,210,1,,NA,NA,,NA,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,Moderate,High,"Fine-loamy, mixed, superactive, mesic Aquic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Hapludolls,fine-loamy,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403836,17599012
0,5,10,Tripoli,Series,No ,,,0,1,2,75,123,165,Low,5,48,6,Class 1,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,160,280,400,0,180,360,interfluves on till plains,NA,0.09,NA,6,9,12,580,735,1040,NA,NA,NA,155,180,210,2,w,NA,NA,,NA,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-loamy, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403836,17599013
70,90,100,Kenyon,Series,Yes,,,2,3,5,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Moderately well drained,189,320,428,0,180,360,interfluves on till plains,NA,0.16,NA,6.4,8,10,813,864,940,NA,NA,NA,161,172,198,2,e,NA,NA,,NA,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-loamy, mixed, superactive, mesic Typic Hapludolls",Mollisols,Udolls,Hapludolls,Typic Hapludolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403891,17599002
0,5,10,Floyd,Series,No ,,,1,2,4,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,189,320,428,0,180,360,drainageways on till plains,NA,0.16,NA,6.4,8,10,813,864,940,NA,NA,NA,160,172,198,2,w,NA,NA,,NA,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B/D,Low,High,"Fine-loamy, mixed, superactive, mesic Aquic Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Pachic Hapludolls,fine-loamy,not used,superactive,not used,mesic,Aquic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403891,17599003
0,3,10,Ostrander,Series,No ,,,2,3,5,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Well drained,189,320,428,0,180,360,interfluves on till plains,NA,0.09,NA,6.4,8,10,813,864,940,NA,NA,NA,161,172,198,2,e,NA,NA,,NA,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B,Low,Low,"Fine-loamy, mixed, superactive, mesic Typic Hapludolls",Mollisols,Udolls,Hapludolls,Typic Hapludolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403891,17599004
0,1,5,Cerlin,Series,No ,,,2,2,5,NA,61,NA,High,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,189,320,428,0,180,360,interfluves on till plains,NA,0.09,NA,6.4,8,10,813,864,940,NA,NA,NA,161,172,198,2,e,NA,NA,,NA,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,D,Moderate,High,"Fine-loamy over clayey, mixed, superactive, mesic Aquic Argiudolls",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine-loamy over clayey,not used,superactive,not used,mesic,Aquic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403891,17599005
0,1,5,Olin,Series,No ,,,2,4,5,NA,61,NA,Very low,5,86,3,Class 1,Crop cover,Row crop,,No,Well drained,189,320,428,0,180,360,interfluves on till plains,NA,0.16,NA,6.4,8,10,813,864,940,NA,NA,NA,161,172,198,2,e,NA,NA,,NA,97,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B,Moderate,Low,"Coarse-loamy, mixed, superactive, mesic Typic Hapludolls",Mollisols,Udolls,Hapludolls,Typic Hapludolls,coarse-loamy,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403891,17599006
70,85,100,Clyde,Series,Yes,,,0,1,3,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,200,345,440,0,160,360,drainageways on till plains,NA,0.09,NA,6.7,7.8,9.4,813,866,940,NA,NA,NA,155,175,195,2,w,NA,NA,,NA,86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-loamy, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403893,17599168
0,5,10,Clyde,Series,No ,,Frequently flooded,0,1,3,NA,61,NA,Low,5,48,6,Class 1,Grass/herbaceous cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,200,345,440,0,180,360,drainageways on till plains,NA,0.09,NA,6.7,7.8,9.4,813,866,940,NA,NA,NA,155,175,195,2,w,NA,NA,,NA,86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-loamy, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403893,17599169
0,5,10,Floyd,Series,No ,,,1,2,3,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,200,345,440,0,180,360,drainageways on till plains,NA,0.16,NA,6.7,7.8,9.4,813,866,940,NA,NA,NA,155,175,195,2,w,NA,NA,,NA,86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B/D,Low,High,"Fine-loamy, mixed, superactive, mesic Aquic Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Pachic Hapludolls,fine-loamy,not used,superactive,not used,mesic,Aquic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,403893,17599170
