musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
399,"Readlyn silt loam, 1 to 3 percent slopes",Consociation,NA,12234,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,91,NA,NA,NA,NA,13651,403836
83B,"Kenyon loam, 2 to 5 percent slopes",Consociation,NA,23771,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,90,NA,NA,NA,NA,13651,403891
84,"Clyde silty clay loam, 0 to 3 percent slopes",Consociation,NA,30181,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,88,NA,NA,NA,NA,13651,403893
