x1,x2,date,samp_id,ph,buffer,x3,om,phos,potassium
VIRGINIA NICHOLS,ISU,2/17/2021,1,5.6,6.72,,2.4,37,119
VIRGINIA NICHOLS,ISU,2/17/2021,2,6.5,6.99,,2.2,41,111
VIRGINIA NICHOLS,ISU,2/17/2021,3,5.7,6.61,,2.7,48,126
VIRGINIA NICHOLS,ISU,2/17/2021,4,5.6,6.62,,2.6,58,130
VIRGINIA NICHOLS,ISU,2/17/2021,5,5.5,6.61,,2.4,50,118
VIRGINIA NICHOLS,ISU,2/17/2021,6,6.3,6.92,,2.5,46,109
VIRGINIA NICHOLS,ISU,2/17/2021,7,5.6,6.64,,2.4,42,102
VIRGINIA NICHOLS,ISU,2/17/2021,8,6.3,6.86,,3,101,156
VIRGINIA NICHOLS,ISU,2/17/2021,9,6.3,6.88,,2.9,82,131
VIRGINIA NICHOLS,ISU,2/17/2021,10,5.3,6.34,,2.4,41,96
VIRGINIA NICHOLS,ISU,2/17/2021,11,5.5,6.65,,2.3,68,173
VIRGINIA NICHOLS,ISU,2/17/2021,12,5.7,6.8,,2.5,49,180
VIRGINIA NICHOLS,ISU,2/17/2021,13,5.6,6.69,,2.5,44,149
VIRGINIA NICHOLS,ISU,2/17/2021,14,5.7,6.71,,2.5,50,181
VIRGINIA NICHOLS,ISU,2/17/2021,15,5.9,6.81,,2.6,53,167
VIRGINIA NICHOLS,ISU,2/17/2021,16,5.9,6.74,,2.6,92,206
VIRGINIA NICHOLS,ISU,2/17/2021,17,6.1,6.92,,2.3,40,136
VIRGINIA NICHOLS,ISU,2/17/2021,18,5.7,6.65,,2.6,39,119
VIRGINIA NICHOLS,ISU,2/17/2021,19,6.3,6.95,,2.2,33,139
VIRGINIA NICHOLS,ISU,2/17/2021,20,6.3,6.91,,2.1,33,149
VIRGINIA NICHOLS,ISU,2/17/2021,21,6.7,6.96,,3.8,53,269
VIRGINIA NICHOLS,ISU,2/17/2021,22,6.7,6.85,,3.6,33,213
VIRGINIA NICHOLS,ISU,2/17/2021,23,6.3,6.83,,2.8,36,296
VIRGINIA NICHOLS,ISU,2/17/2021,24,6.8,6.95,,3,69,548
VIRGINIA NICHOLS,ISU,2/17/2021,25,6.1,6.6,,4.3,85,362
VIRGINIA NICHOLS,ISU,2/17/2021,26,6.1,6.54,,3.8,31,171
VIRGINIA NICHOLS,ISU,2/17/2021,27,5.7,6.24,,3.9,48,172
VIRGINIA NICHOLS,ISU,2/17/2021,28,7,7,,4.1,23,168
VIRGINIA NICHOLS,ISU,2/17/2021,29,5.4,6.56,,1.8,14,98
VIRGINIA NICHOLS,ISU,2/17/2021,30,5,6.2,,3.3,18,70
VIRGINIA NICHOLS,ISU,2/17/2021,31,4.7,6.12,,2.2,15,67
VIRGINIA NICHOLS,ISU,2/17/2021,32,5.6,6.36,,4.6,56,209
VIRGINIA NICHOLS,ISU,2/17/2021,33,5.1,6.42,,1.8,12,80
VIRGINIA NICHOLS,ISU,2/17/2021,34,5.1,6.4,,1.8,11,80
VIRGINIA NICHOLS,ISU,2/17/2021,35,5.3,6.31,,3,12,109
VIRGINIA NICHOLS,ISU,2/17/2021,36,6.2,6.7,,4.4,31,145
