x1,x2,date,samp_id,ph,buffer,x3,om,phos,potassium
VIRGINIA NICHOLS,AMES,4/19/2021,1,6.6,6.88,,3.4,30,206
VIRGINIA NICHOLS,AMES,4/19/2021,2,6.4,6.99,,3.4,43,221
VIRGINIA NICHOLS,AMES,4/19/2021,3,6,6.62,,3.6,28,210
VIRGINIA NICHOLS,AMES,4/19/2021,4,5.9,6.6,,4,24,227
VIRGINIA NICHOLS,AMES,4/19/2021,5,5.8,6.6,,3.6,20,195
VIRGINIA NICHOLS,AMES,4/19/2021,6,6.1,6.69,,3.7,17,172
VIRGINIA NICHOLS,AMES,4/19/2021,7,5.7,6.45,,3.8,16,177
VIRGINIA NICHOLS,AMES,4/19/2021,8,6,6.62,,3.5,22,228
