601|"467866"|"412001"|"27752909"
601|"467867"|"412001"|"27752910"
601|"467868"|"412001"|"27752911"
601|"467869"|"412001"|"27752912"
601|"467870"|"412001"|"27752913"
23668|"467866"|"412032"|"27752384"
23668|"467867"|"412032"|"27752385"
23668|"467868"|"412032"|"27752386"
23668|"467869"|"412032"|"27752387"
23668|"467870"|"412032"|"27752388"
10071|"467866"|"412099"|"27752834"
10071|"467867"|"412099"|"27752835"
10071|"467868"|"412099"|"27752836"
10071|"467869"|"412099"|"27752837"
10071|"467870"|"412099"|"27752838"
