"p"|"60064185"|"24359737"
"g"|"60064184"|"24359746"
"t"|"60064183"|"24359744"
"g"|"60064183"|"24359745"
"t"|"60064181"|"24359742"
"g"|"60064181"|"24359743"
"t"|"60064180"|"24359740"
"g"|"60064180"|"24359741"
"t"|"60064179"|"24359738"
"g"|"60064179"|"24359739"
"p"|"60064178"|"24359753"
"t"|"60064177"|"24359751"
"g"|"60064177"|"24359752"
"g"|"60064174"|"24359750"
"t"|"60064173"|"24359748"
"g"|"60064173"|"24359749"
"t"|"60064171"|"24359747"
"t"|"60064878"|"24360149"
"g"|"60064878"|"24360150"
"t"|"60064877"|"24360151"
"g"|"60064877"|"24360152"
"t"|"60064876"|"24360153"
"g"|"60064876"|"24360154"
"t"|"60064875"|"24360147"
"g"|"60064875"|"24360148"
"p"|"60064874"|"24360146"
"t"|"60064872"|"24360155"
"g"|"60064872"|"24360156"
"p"|"60064870"|"24360167"
"g"|"60064869"|"24360173"
"g"|"60064868"|"24360172"
"g"|"60064867"|"24360171"
"g"|"60064866"|"24360170"
"g"|"60064864"|"24360169"
"g"|"60064863"|"24360168"
"g"|"60064862"|"24360166"
"t"|"60064861"|"24360164"
"g"|"60064861"|"24360165"
"t"|"60064859"|"24360162"
"g"|"60064859"|"24360163"
"t"|"60064858"|"24360160"
"g"|"60064858"|"24360161"
"t"|"60064857"|"24360158"
"g"|"60064857"|"24360159"
"p"|"60064855"|"24360157"
