"Ap"||"A"|||0|0|0|18|23|25||23||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|94|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|60|68|72|26|29|32|36|39|42|25|30|35|0|0|0|3|4|6||||1.3|1.35|1.4||||1.48|1.53|1.62||1|3|10|0.2|0.22|0.24||||31.2|33.5|36.1|17.1|21|25.9|42|44|46|3|4.2|5.9|41|48|58|17|21|24|17|24|30|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.1|2|20.8|24.6|28.5||||17.6|22.8|27.8|5.6|6.5|7.3||||||||||3.3|6.3|9.9|||||||||||||||||||||"20456969"|"60064855"
"A1"||"A"||1|18|23|25|25|41|45||18||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|93|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|55|64|72|24|27|30|34|37|40|26|34|40|0|0|0|2|3|4||||1.3|1.35|1.4||||1.51|1.56|1.68||1|3|10|0.19|0.21|0.23||||30.7|34|36.2|16.5|21.9|26.1|43|45|47|3|5|5.9|40|50|58|18|24|29|17|27|35|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.1|2|21.2|27.1|31.5||||17.9|24.3|31.2|5.6|6|7.3||||||||||3|7.6|9.5|||||||||||||||||||||"20456969"|"60064856"
"Btg3"||"B"||3|65|71|80|75|91|100||20||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|54|62|66|23|27|31|31|35|39|33|36|42|0|0|0|0|0.5|1||||1.3|1.38|1.45||||1.57|1.65|1.73||0.1|0.7|1|0.16|0.18|0.2||||31.9|33.2|35.3|18.2|20.5|24.3|43|45|48|6|6.2|8.9|42|47|54|23|26|30|22|28|34|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.1|2|22.3|26.9|31.4||||20.4|25.2|31.2|5.1|6|7.3||||||||||2.4|6.7|9.8|||||||||||||||||||||"20456969"|"60064857"
"Btg4"||"B"||4|75|91|100|90|117|160||26||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|94|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|55|65|68|25|29|33|32|36|40|30|33|40|0|0|0|0|0.5|1||||1.4|1.45|1.5||||1.61|1.66|1.79||1|3|10|0.16|0.18|0.2||||31.3|32.8|35.3|17.4|19.8|24.4|41|43|44|3|4.6|5.9|40|44|52|21|23|29|20|24|33|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.1|2|20.5|24.9|30.1||||19.2|23.7|30|5.6|6.4|7.3||||||||||2.2|5.4|8.3|||||||||||||||||||||"20456969"|"60064858"
"Btg1"||"B"||1|35|51|51|50|61|70||10||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|54|57|66|20|23|26|31|34|37|33|41|42|0|0|0|0|0.5|1||||1.3|1.38|1.45||||1.63|1.71|1.73||0.01|0.09|0.1|0.15|0.17|0.19||||28.1|31|31.6|17.7|22.6|23.7|43|45|48|6|7.4|8.9|42|52|54|23|30|30|22|32|34|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.1|2|22.3|30|31.4||||20.4|28.4|31.2|5.1|6|7.3||||||||||2.4|7|9.8|||||||||||||||||||||"20456969"|"60064859"
"A2"||"A"||2|25|41|45|35|51|51||10||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|93|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|55|61|72|22|25|28|33|36|39|26|37|40|0|0|0|2|2.5|3||||1.3|1.35|1.4||||1.59|1.64|1.68||0.1|0.7|1|0.18|0.2|0.22||||30.7|34.5|35.6|16.5|22.9|25|43|45|47|6|6.7|8.9|40|52|56|18|26|29|17|29|34|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.1|2|21.2|29|31.2||||17.8|26.7|31|5.6|6|7.3||||||||||3|7.6|9.1|||||||||||||||||||||"20456969"|"60064860"
"Btg2"||"B"||2|50|61|70|65|71|80||10||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|54|58|66|20|24|28|30|34|38|33|40|42|0|0|0|0|0.5|1||||1.3|1.38|1.45||||1.62|1.7|1.73||0.01|0.09|0.1|0.15|0.17|0.19||||28.1|30.7|31.6|17.7|22.1|23.7|43|45|48|6|7.1|8.9|42|51|54|23|29|30|22|31|34|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.1|2|22.3|29.4|31.4||||20.4|27.9|31.2|5.1|6|7.3||||||||||2.4|7|9.8|||||||||||||||||||||"20456969"|"60064861"
"Cg"||"C"|||90|117|160|145|152|200||35||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|93|99|100|1|2|5|0|0|0.5|0|0.1|0.5|0|0.3|1|0|0.6|1.5|0|1|1.5|62|70|79|28|32|36|34|38|42|20|28|33|0|0|0|0|0.5|1||||1.4|1.45|1.5||||1.56|1.61|1.66||1|3|10|0.16|0.18|0.2||||27.2|31|33.2|11.6|16.9|20.4|41|43|44|3|3.6|5.9|30|39|45|13|19|23|10|19|25|".49"|".49"|0|0|5|0|0|0|0|0|0|0|0.1|2|14.5|21.6|25.5||||14.3|21.1|64.5|6.1|6.9|7.8||||||||||0.2|3.6|6.4|||||||||||||||||||||"20456969"|"60064862"
"Bg1"||"B"||1|24|46|60|32|56|72|8|10|12|0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|0|2|5|0|0|0.2|0|0|0.2|0|0.3|0.6|0.1|0.5|2|0.1|1.2|3|60|64|73|32|34|38|28|30|35|27|34|35|0|0|0|1.5|2|2.5||||1.28|1.32|1.35||||1.49|1.53|1.55||1|3|10|0.16|0.18|0.2||||30.4|33.1|33.7|16|20.2|21.3|45|46|48|3|5.1|5.9|40|48|50|19|24|25|25|32|39|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.1|2|22.1|27.5|28.5||||20.6|26.5|28.3|6.1|6.7|7.3|6.1|6.2|7.3|||||||2.9|5.3|7.3|||||||||||||||||||||"20456970"|"60064863"
"BCg1"||"BC"||1|74|107|140|86|122|160|12|15|20|0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|94|98|100|0|3|5|0|0|0.2|0|0|0.2|0|0.3|0.6|0.1|0.7|2|0.1|2|3|63|71|76|34|37|40|29|34|36|24|26|32|0|0|0|0.25|0.5|0.75||||1.35|1.4|1.45||||1.5|1.55|1.6||1|9|10|0.15|0.17|0.19||||28.9|29.9|32.2|13.8|15.2|18.8|43|44|46|3|3.4|5.9|34|37|43|16|18|23|13|17|21|".49"|".49"|0|8|15|0|0|0|0|0|0|0|0.1|2|18.5|20.5|25.1||||17.3|59.2|64.1|6.1|7.2|7.8|6.1|6.7|7.8|||||||0.7|2.7|6.3|||||||||||||||||||||"20456970"|"60064864"
