plot_id,press_cm,gal_3inac
St-4cc,25,4473.164327884502
St-4cc,50,4302.421122796752
St-4cc,100,4190.745837306926
St-4cc,200,4071.071771038213
St-4cc,500,4000.9286165156786
St-5no,2.5,4866.0275222936125
St-5no,10,4726.66414949226
St-5no,25,4395.637683412224
St-5no,50,4287.961788311841
St-5no,100,4187.6693831611965
St-5no,200,4067.072380648768
St-5no,500,3974.1634654478657
St-6cc,2.5,5148.7536582857665
St-6cc,10,4914.6354977960755
St-6cc,25,4541.15396450503
St-6cc,50,4414.4040537011515
St-6cc,100,4302.11347738218
St-6cc,200,4160.288941264246
St-6cc,500,4058.1506636261674
St-7no,2.5,5196.438697544505
St-7no,10,5015.235548361287
St-7no,25,4620.52648146474
St-7no,50,4479.932527005098
St-7no,100,4337.800345472591
St-7no,200,4170.133594530565
St-7no,500,4126.140300246694
St-8cc,2.5,4975.241644466861
St-8cc,10,4850.337606150417
St-8cc,25,4566.996179329122
St-8cc,50,4461.781447545319
St-8cc,100,4348.2602895680575
St-8cc,200,4198.129327256665
St-8cc,500,4093.2222408874345
St-9no,2.5,4766.658053386689
St-9no,10,4615.911800246152
St-9no,25,4366.411369027835
St-9no,50,4285.192979580689
St-9no,100,4190.130546477779
St-9no,200,4059.9965361136015
St-9no,500,3953.5512226715077
