"mixed"|"20424629"|"16053191"
"mixed"|"20424630"|"16053192"
"mixed"|"20424631"|"16053193"
"mixed"|"20424654"|"16053216"
"mixed"|"20424655"|"16053217"
"mixed"|"20424656"|"16053218"
"mixed"|"20424657"|"16053219"
"mixed"|"20424658"|"16053220"
"mixed"|"20424659"|"16053221"
"smectitic"|"20424660"|"16053222"
"mixed"|"20424679"|"16053241"
"mixed"|"20424680"|"16053242"
"mixed"|"20424681"|"16053243"
"smectitic"|"20424759"|"16053321"
"mixed"|"20424760"|"16053322"
"mixed"|"20424761"|"16053323"
"mixed"|"20424762"|"16053324"
