"g"|"59950245"|"24300405"
"p"|"59950243"|"24300406"
"g"|"59950242"|"24300404"
"k"|"59950241"|"24300102"
"p"|"59950240"|"24300106"
"k"|"59950239"|"24300103"
"g"|"59950239"|"24300104"
"g"|"59950238"|"24300105"
"k"|"59950237"|"24300117"
"g"|"59950237"|"24300118"
"p"|"59950234"|"24300116"
"g"|"59950233"|"24300119"
"g"|"59950231"|"24300280"
"g"|"59950230"|"24300281"
"p"|"59950229"|"24300279"
"g"|"59949943"|"24300243"
"g"|"59949943"|"24300244"
"p"|"59949941"|"24300242"
"p"|"59949939"|"24300033"
"w"|"59949938"|"24300030"
"k"|"59949936"|"24300291"
"p"|"59949935"|"24300292"
"g"|"59949861"|"24300265"
"g"|"59949860"|"24300266"
"p"|"59949859"|"24300264"
"g"|"59949858"|"24300240"
"g"|"59949858"|"24300241"
"p"|"59949856"|"24300239"
"g"|"59949854"|"24300011"
"p"|"59949852"|"24300012"
"g"|"59949851"|"24300008"
"k"|"59949850"|"24300180"
"g"|"59949850"|"24300181"
"p"|"59949849"|"24300179"
"g"|"59949848"|"24300182"
"g"|"59949845"|"24300396"
"p"|"59949843"|"24300397"
"g"|"59949842"|"24300395"
"w"|"59949839"|"24300003"
"p"|"59949838"|"24300004"
"g"|"59949837"|"24300006"
"g"|"59949837"|"24300007"
"p"|"59949835"|"24300005"
"p"|"59949744"|"24299980"
"w"|"59949743"|"24299981"
"g"|"59949742"|"24300237"
"g"|"59949742"|"24300238"
"p"|"59949740"|"24300236"
"k"|"59949738"|"24300287"
"p"|"59949737"|"24300288"
