130|170|180|200|200|200|"Wet"|"213887887"|"134344396"
0|0|0|80|110|140|"Moist"|"213887888"|"134344397"
80|110|140|200|200|200|"Wet"|"213887888"|"134344398"
0|0|0|140|170|190|"Moist"|"213887889"|"134344399"
140|170|190|200|200|200|"Wet"|"213887889"|"134344400"
0|0|0|160|190|200|"Moist"|"213887890"|"134344401"
160|190|200|200|200|200|"Wet"|"213887890"|"134344402"
0|0|0|140|160|160|"Moist"|"213887891"|"134344403"
140|160|160|200|200|200|"Wet"|"213887891"|"134344404"
0|0|0|190|200|200|"Moist"|"213887892"|"134344405"
190|200|200|200|200|200|"Wet"|"213887892"|"134344406"
0|0|0|120|150|160|"Moist"|"213887893"|"134344407"
120|150|160|200|200|200|"Wet"|"213887893"|"134344408"
0|0|0|180|200|200|"Moist"|"213887894"|"134344409"
180|200|200|200|200|200|"Wet"|"213887894"|"134344410"
0|0|0|130|170|190|"Moist"|"213887895"|"134344411"
130|170|190|200|200|200|"Wet"|"213887895"|"134344412"
0|0|0|180|200|200|"Moist"|"213887896"|"134344413"
180|200|200|200|200|200|"Wet"|"213887896"|"134344414"
0|0|0|180|200|200|"Moist"|"213887897"|"134344415"
180|200|200|200|200|200|"Wet"|"213887897"|"134344416"
0|0|0|190|200|200|"Moist"|"213887898"|"134344417"
190|200|200|200|200|200|"Wet"|"213887898"|"134344418"
0|0|0|180|200|200|"Moist"|"213887899"|"134344419"
180|200|200|200|200|200|"Wet"|"213887899"|"134344420"
0|0|0|140|170|200|"Moist"|"213887900"|"134344421"
140|170|200|200|200|200|"Wet"|"213887900"|"134344422"
0|15|20|200|200|200|"Wet"|"213887901"|"134344423"
0|0|0|0|15|20|"Moist"|"213887901"|"134344424"
40|80|100|200|200|200|"Wet"|"213887902"|"134344425"
0|0|0|40|80|100|"Moist"|"213887902"|"134344426"
60|90|100|200|200|200|"Wet"|"213887903"|"134344427"
0|0|0|60|90|100|"Moist"|"213887903"|"134344428"
30|50|60|200|200|200|"Wet"|"213887904"|"134344429"
0|0|0|30|50|60|"Moist"|"213887904"|"134344430"
15|30|50|200|200|200|"Wet"|"213887905"|"134344431"
0|0|0|15|30|50|"Moist"|"213887905"|"134344432"
0|0|0|40|70|90|"Moist"|"213887906"|"134344433"
40|70|90|200|200|200|"Wet"|"213887906"|"134344434"
0|0|0|70|110|120|"Moist"|"213887907"|"134344435"
