"CL"|Yes|"59949736"|"112267859"
"CL"|Yes|"59949737"|"112267860"
"CL"|Yes|"59949738"|"112267861"
"CL"|Yes|"59949739"|"112267862"
"CL"|No |"59949740"|"112267863"
"ML"|Yes|"59949740"|"112267864"
"SC"|No |"59949741"|"112267865"
"CL-ML"|No |"59949741"|"112267866"
"CL"|Yes|"59949741"|"112267867"
"CL"|Yes|"59949742"|"112267868"
"SC"|No |"59949743"|"112267869"
"CL"|Yes|"59949743"|"112267870"
"CL"|Yes|"59949744"|"112267871"
"ML"|No |"59949744"|"112267872"
"SC"|No |"59949744"|"112267873"
"SC"|No |"59949745"|"112267874"
"CL-ML"|No |"59949745"|"112267875"
"CL"|Yes|"59949745"|"112267876"
"CL"|Yes|"59949746"|"112267877"
"CL"|Yes|"59949834"|"112268045"
"CL"|No |"59949835"|"112268046"
"ML"|Yes|"59949835"|"112268047"
"SC"|No |"59949836"|"112268048"
"CL-ML"|No |"59949836"|"112268049"
"CL"|Yes|"59949836"|"112268050"
"CL"|Yes|"59949837"|"112268051"
"CL"|Yes|"59949838"|"112268052"
"ML"|No |"59949838"|"112268053"
"SC"|No |"59949838"|"112268054"
"SC"|No |"59949839"|"112268055"
"CL"|Yes|"59949839"|"112268056"
"SC"|No |"59949840"|"112268057"
"CL-ML"|No |"59949840"|"112268058"
"CL"|Yes|"59949840"|"112268059"
"CL"|Yes|"59949841"|"112268060"
"SC"|No |"59949842"|"112268061"
"CL-ML"|No |"59949842"|"112268062"
"CL"|Yes|"59949842"|"112268063"
"CL"|No |"59949843"|"112268064"
"MH"|Yes|"59949843"|"112268065"
"CL"|No |"59949844"|"112268066"
"MH"|Yes|"59949844"|"112268067"
"ML"|No |"59949845"|"112268068"
"CL"|Yes|"59949845"|"112268069"
"CL"|Yes|"59949846"|"112268070"
"MH"|No |"59949847"|"112268071"
"ML"|Yes|"59949847"|"112268072"
"SC"|No |"59949848"|"112268073"
"CL-ML"|No |"59949848"|"112268074"
"CL"|Yes|"59949848"|"112268075"
"MH"|Yes|"59949849"|"112268076"
"ML"|No |"59949849"|"112268077"
"CL"|Yes|"59949850"|"112268078"
"SC"|No |"59949851"|"112268079"
"CL-ML"|No |"59949851"|"112268080"
"CL"|Yes|"59949851"|"112268081"
"CL"|No |"59949852"|"112268082"
"MH"|Yes|"59949852"|"112268083"
"CL"|No |"59949853"|"112268084"
"MH"|Yes|"59949853"|"112268085"
"ML"|No |"59949854"|"112268086"
"CL"|Yes|"59949854"|"112268087"
"CL"|Yes|"59949855"|"112268088"
"CL"|No |"59949856"|"112268089"
"ML"|Yes|"59949856"|"112268090"
"SC"|No |"59949857"|"112268091"
"CL-ML"|No |"59949857"|"112268092"
"CL"|Yes|"59949857"|"112268093"
"CL"|Yes|"59949858"|"112268094"
"OH"|No |"59949859"|"112268095"
"CL"|No |"59949859"|"112268096"
"OL"|No |"59949859"|"112268097"
"MH"|Yes|"59949859"|"112268098"
"CL"|Yes|"59949860"|"112268099"
"CL"|Yes|"59949861"|"112268100"
"OH"|No |"59949862"|"112268101"
"CL"|No |"59949862"|"112268102"
"OL"|No |"59949862"|"112268103"
"MH"|Yes|"59949862"|"112268104"
"CL"|Yes|"59949934"|"112268241"
"CL"|Yes|"59949935"|"112268242"
"CL"|Yes|"59949936"|"112268243"
"SC"|No |"59949937"|"112268244"
"CL-ML"|No |"59949937"|"112268245"
"CL"|Yes|"59949937"|"112268246"
"SC"|No |"59949938"|"112268247"
"CL"|Yes|"59949938"|"112268248"
"CL"|Yes|"59949939"|"112268249"
"ML"|No |"59949939"|"112268250"
"SC"|No |"59949939"|"112268251"
"CL"|Yes|"59949940"|"112268252"
"CL"|No |"59949941"|"112268253"
"ML"|Yes|"59949941"|"112268254"
"SC"|No |"59949942"|"112268255"
"CL-ML"|No |"59949942"|"112268256"
"CL"|Yes|"59949942"|"112268257"
"CL"|Yes|"59949943"|"112268258"
"OH"|No |"59950229"|"112268734"
"CL"|No |"59950229"|"112268735"
"OL"|No |"59950229"|"112268736"
"MH"|Yes|"59950229"|"112268737"
"CL"|Yes|"59950230"|"112268738"
"CL"|Yes|"59950231"|"112268739"
"OH"|No |"59950232"|"112268740"
"CL"|No |"59950232"|"112268741"
"OL"|No |"59950232"|"112268742"
"MH"|Yes|"59950232"|"112268743"
"SC"|No |"59950233"|"112268744"
"CL-ML"|No |"59950233"|"112268745"
"CL"|Yes|"59950233"|"112268746"
"ML"|No |"59950234"|"112268747"
"MH"|Yes|"59950234"|"112268748"
"MH"|No |"59950235"|"112268749"
"ML"|Yes|"59950235"|"112268750"
"CL"|Yes|"59950236"|"112268751"
"CL"|Yes|"59950237"|"112268752"
"CL-ML"|No |"59950238"|"112268753"
"SC"|No |"59950238"|"112268754"
"CL"|Yes|"59950238"|"112268755"
"CL"|Yes|"59950239"|"112268756"
"ML"|No |"59950239"|"112268757"
"MH"|Yes|"59950240"|"112268758"
"ML"|Yes|"59950241"|"112268759"
"SC"|No |"59950242"|"112268760"
"CL-ML"|No |"59950242"|"112268761"
"CL"|Yes|"59950242"|"112268762"
"CL"|No |"59950243"|"112268763"
"MH"|Yes|"59950243"|"112268764"
"CL"|No |"59950244"|"112268765"
"MH"|Yes|"59950244"|"112268766"
"ML"|No |"59950245"|"112268767"
"CL"|Yes|"59950245"|"112268768"
