"Mollic epipedon"|0|0|0|12|35|51|12|35|51|"20424631"|"10778328"
"Cambic horizon"|12|35|51|45|84|146|15|49|134|"20424631"|"10778329"
"Free carbonates"|45|84|146|200|200|200|54|116|155|"20424631"|"10778330"
"Free carbonates"|40|74|112|200|200|200|88|126|160|"20424654"|"10778374"
"Mollic epipedon"|0|0|0|25|38|61|25|38|61|"20424654"|"10778375"
"Cambic horizon"|25|38|61|40|74|112|15|36|51|"20424654"|"10778376"
"Mollic epipedon"|0|0|0|12|35|51|12|35|51|"20424655"|"10778377"
"Cambic horizon"|12|35|51|45|84|146|15|49|134|"20424655"|"10778378"
"Free carbonates"|45|84|146|200|200|200|54|116|155|"20424655"|"10778379"
"Mollic epipedon"|0|0|0|35|58|61|35|58|61|"20424658"|"10778380"
"Free carbonates"|61|97|107|200|200|200|93|103|139|"20424658"|"10778381"
"Cambic horizon"|35|58|61|61|97|107|18|39|66|"20424658"|"10778382"
"Free carbonates"|40|74|112|200|200|200|88|126|160|"20424659"|"10778383"
"Mollic epipedon"|0|0|0|25|38|61|25|38|61|"20424659"|"10778384"
"Cambic horizon"|25|38|61|40|74|112|15|36|51|"20424659"|"10778385"
"Mollic epipedon"|0|0|0|13|20|25|15|20|25|"20424680"|"10778416"
"Cambic horizon"|13|20|25|45|79|146|20|59|133|"20424680"|"10778417"
"Free carbonates"|45|79|146|200|200|200|54|121|155|"20424680"|"10778418"
"Free carbonates"|40|74|112|200|200|200|88|126|160|"20424681"|"10778419"
"Mollic epipedon"|0|0|0|25|38|61|25|38|61|"20424681"|"10778420"
"Cambic horizon"|25|38|61|40|74|112|15|36|51|"20424681"|"10778421"
"Mollic epipedon"|0|0|0|60|84|150|60|84|150|"20424759"|"10778549"
"Cambic horizon"|60|84|150|60|97|200|0|13|75|"20424759"|"10778550"
"Free carbonates"|50|97|150|200|200|200|50|103|150|"20424759"|"10778551"
"Cambic horizon"|46|51|60|74|91|102|30|40|60|"20424760"|"10778552"
"Mollic epipedon"|0|0|0|46|51|60|46|51|60|"20424760"|"10778553"
"Mollic epipedon"|0|0|0|30|51|60|30|51|60|"20424761"|"10778554"
"Calcic horizon"|30|51|60|90|111|190|60|60|130|"20424761"|"10778555"
"Free carbonates"|0|0|18|200|200|200|182|200|200|"20424761"|"10778556"
"Mollic epipedon"|0|0|0|35|58|61|35|58|61|"20424762"|"10778557"
"Cambic horizon"|35|58|61|61|97|107|18|39|66|"20424762"|"10778558"
"Free carbonates"|61|97|107|200|200|200|93|103|139|"20424762"|"10778559"
