"Clay loam"||"120417007"|"122493139"
"Clay loam"||"120417008"|"122493143"
"Silty clay loam"||"120417009"|"122493434"
"Sandy loam"||"120417010"|"122492871"
"Loam"||"120417011"|"122493433"
"Silt loam"||"120417012"|"122492870"
"Loam"||"120417013"|"122492860"
"Sandy loam"||"120417014"|"122493424"
"Loam"||"120417015"|"122493423"
"Clay loam"||"120417016"|"122493131"
"Loam"||"120417017"|"122492861"
"Clay loam"||"120417018"|"122493290"
"Loam"||"120417019"|"122493129"
"Clay loam"||"120417020"|"122493130"
"Sandy loam"||"120417021"|"122491934"
"Loam"||"120417022"|"122491935"
"Clay loam"||"120417023"|"122493043"
"Silty clay loam"||"120417024"|"122493677"
"Clay loam"||"120417025"|"122492498"
"Silty clay loam"||"120417026"|"122492778"
"Loam"||"120417027"|"122493042"
"Clay loam"||"120417028"|"122492779"
