"g"|"59703977"|"24159826"
"p"|"59703975"|"24159827"
"g"|"59703974"|"24159825"
"w"|"59703971"|"24159488"
"p"|"59703970"|"24159489"
"g"|"59703969"|"24159491"
"g"|"59703969"|"24159492"
"p"|"59703967"|"24159490"
"p"|"59703900"|"24159471"
"w"|"59703899"|"24159472"
"g"|"59703898"|"24159694"
"g"|"59703898"|"24159695"
"p"|"59703896"|"24159693"
"k"|"59703894"|"24159737"
"p"|"59703893"|"24159738"
"p"|"59704577"|"24159799"
"p"|"59704572"|"24159798"
"p"|"59704594"|"24159802"
"g"|"59704592"|"24159805"
"g"|"59704591"|"24159804"
"p"|"59704590"|"24159803"
