"Silty clay loam"||"119788690"|"121854804"
"Clay loam"||"119788691"|"121855089"
"Loam"||"119788692"|"121854382"
"Silty clay loam"||"119788693"|"121854244"
"Clay loam"||"119788694"|"121855088"
"Loam"||"119788695"|"121854246"
"Loam"||"119788696"|"121854806"
"Clay loam"||"119788697"|"121854805"
"Sandy clay loam"||"119788698"|"121855090"
"Clay loam"||"119788699"|"121854245"
"Sandy loam"||"119788700"|"121855091"
"Loam"||"119788701"|"121854807"
"Sandy loam"||"119788702"|"121855087"
"Sandy clay loam"||"119788703"|"121854242"
"Loam"||"119788704"|"121854378"
"Loam"||"119788705"|"121854379"
"Clay loam"||"119788706"|"121854380"
"Clay loam"||"119788707"|"121854381"
"Loam"||"119788708"|"121854243"
"Sandy loam"||"119788658"|"121854798"
"Loam"||"119788659"|"121853826"
"Clay loam"||"119788660"|"121855081"
"Silty clay loam"||"119788661"|"121853827"
"Silty clay loam"||"119788662"|"121855080"
"Clay loam"||"119788663"|"121853825"
"Clay loam"||"119788664"|"121854795"
"Loam"||"119788665"|"121854796"
"Loam"||"119788666"|"121854797"
"Loam"||"119788667"|"121853963"
"Clay loam"||"119788668"|"121853828"
"Clay loam"||"119788669"|"121853962"
"Loam"||"119788670"|"121853961"
"Sandy loam"||"119788671"|"121853959"
"Sandy clay loam"||"119788672"|"121853960"
"Loam"||"119788673"|"121855082"
"Loam"||"119786871"|"121854845"
"Sandy loam"||"119786872"|"121854846"
"Sandy loam"||"119786873"|"121854847"
"Loam"||"119786874"|"121854848"
"Sandy clay loam"||"119786875"|"121854293"
"Loam"||"119786876"|"121854292"
"Clay loam"||"119786877"|"121855099"
"Loam"||"119786878"|"121854255"
"Loam"||"119786879"|"121854814"
"Clay loam"||"119786880"|"121854254"
"Sandy loam"||"119786881"|"121854812"
"Loam"||"119786882"|"121854813"
"Loam"||"119786883"|"121855100"
"Clay loam"||"119786884"|"121854390"
"Loam"||"119786885"|"121855485"
"Sandy clay loam"||"119786886"|"121854641"
"Sandy loam"||"119786887"|"121855486"
"Loam"||"119786888"|"121854640"
"Sandy clay loam"||"119786889"|"121855484"
"Sandy loam"||"119786890"|"121855351"
"Loam"||"119786891"|"121854642"
"Sandy loam"||"119786892"|"121854767"
"Loam"||"119786893"|"121855352"
"Sandy clay loam"||"119786894"|"121855353"
"Sandy loam"||"119786895"|"121855354"
"Clay loam"||"119787080"|"121855658"
"Loam"||"119787081"|"121855659"
"Loam"||"119787082"|"121855494"
"Clay loam"||"119787083"|"121854650"
"Sandy loam"||"119787084"|"121854771"
"Loam"||"119787085"|"121854772"
"Loam"||"119787086"|"121855660"
"Clay loam"||"119787087"|"121855661"
"Loam"||"119787088"|"121854648"
"Sandy clay loam"||"119787089"|"121855657"
"Sandy loam"||"119787090"|"121855492"
"Sandy clay loam"||"119787091"|"121855654"
"Sandy loam"||"119787092"|"121855655"
"Loam"||"119787093"|"121855656"
"Sandy loam"||"119787094"|"121855490"
"Loam"||"119787095"|"121854646"
"Sandy clay loam"||"119787096"|"121855491"
"Sandy loam"||"119787097"|"121854647"
"Loam"||"119787098"|"121855653"
"Sandy loam"||"119787099"|"121854460"
"Loam"||"119787100"|"121855159"
"Clay loam"||"119787101"|"121854869"
"Silty clay loam"||"119787102"|"121854870"
"Clay loam"||"119787103"|"121854316"
"Silty clay loam"||"119787104"|"121855160"
"Loam"||"119787105"|"121854317"
"Clay loam"||"119787106"|"121855161"
