"Free carbonates"|122|200|200|200|200|200|0|0|78|"20344224"|"10687773"
"Mollic epipedon"|0|0|0|90|91|200|90|91|200|"20344224"|"10687774"
"Mollic epipedon"|0|0|0|100|112|150|100|112|150|"20344225"|"10687775"
"Free carbonates"|100|200|200|200|200|200|0|0|100|"20344225"|"10687776"
"Mollic epipedon"|0|0|0|100|112|150|100|112|150|"20344221"|"10687769"
"Free carbonates"|100|200|200|200|200|200|0|0|100|"20344221"|"10687770"
"Mollic epipedon"|0|0|0|12|35|51|12|35|51|"20344050"|"10687400"
"Cambic horizon"|12|35|51|45|84|146|15|49|134|"20344050"|"10687401"
"Free carbonates"|45|84|146|200|200|200|54|116|155|"20344050"|"10687402"
"Free carbonates"|40|74|112|200|200|200|88|126|160|"20344067"|"10687428"
"Mollic epipedon"|0|0|0|25|38|61|25|38|61|"20344067"|"10687429"
"Cambic horizon"|25|38|61|40|74|112|15|36|51|"20344067"|"10687430"
"Mollic epipedon"|0|0|0|12|35|51|12|35|51|"20344068"|"10687431"
"Cambic horizon"|12|35|51|45|84|146|15|49|134|"20344068"|"10687432"
"Free carbonates"|45|84|146|200|200|200|54|116|155|"20344068"|"10687433"
