"ML"|No |"59703977"|"111720223"
"CL"|Yes|"59703977"|"111720224"
"CL"|No |"59703976"|"111720221"
"MH"|Yes|"59703976"|"111720222"
"CL"|No |"59703975"|"111720219"
"MH"|Yes|"59703975"|"111720220"
"SC"|No |"59703974"|"111720216"
"CL-ML"|No |"59703974"|"111720217"
"CL"|Yes|"59703974"|"111720218"
"CL"|Yes|"59703973"|"111720215"
"SC"|No |"59703972"|"111720212"
"CL-ML"|No |"59703972"|"111720213"
"CL"|Yes|"59703972"|"111720214"
"SC"|No |"59703971"|"111720210"
"CL"|Yes|"59703971"|"111720211"
"CL"|Yes|"59703970"|"111720207"
"ML"|No |"59703970"|"111720208"
"SC"|No |"59703970"|"111720209"
"CL"|Yes|"59703969"|"111720206"
"SC"|No |"59703968"|"111720203"
"CL-ML"|No |"59703968"|"111720204"
"CL"|Yes|"59703968"|"111720205"
"CL"|No |"59703967"|"111720201"
"ML"|Yes|"59703967"|"111720202"
"CL"|Yes|"59703966"|"111720200"
"CL"|Yes|"59703902"|"111720085"
"SC"|No |"59703901"|"111720082"
"CL-ML"|No |"59703901"|"111720083"
"CL"|Yes|"59703901"|"111720084"
"CL"|Yes|"59703900"|"111720079"
"ML"|No |"59703900"|"111720080"
"SC"|No |"59703900"|"111720081"
"SC"|No |"59703899"|"111720077"
"CL"|Yes|"59703899"|"111720078"
"CL"|Yes|"59703898"|"111720076"
"SC"|No |"59703897"|"111720073"
"CL-ML"|No |"59703897"|"111720074"
"CL"|Yes|"59703897"|"111720075"
"CL"|No |"59703896"|"111720071"
"ML"|Yes|"59703896"|"111720072"
"CL"|Yes|"59703895"|"111720070"
"CL"|Yes|"59703894"|"111720069"
"CL"|Yes|"59703893"|"111720068"
"CL"|Yes|"59703892"|"111720067"
"CL-ML"|No |"59704579"|"111721232"
"CL"|Yes|"59704579"|"111721233"
"CL"|Yes|"59704578"|"111721231"
"CL"|Yes|"59704577"|"111721230"
"CL"|Yes|"59704576"|"111721229"
"SC-SM"|No |"59704575"|"111721227"
"SC"|Yes|"59704575"|"111721228"
"ML"|No |"59704574"|"111721225"
"MH"|Yes|"59704574"|"111721226"
"CL"|Yes|"59704573"|"111721224"
"ML"|No |"59704572"|"111721222"
"MH"|Yes|"59704572"|"111721223"
"SC-SM"|No |"59704571"|"111721220"
"SC"|Yes|"59704571"|"111721221"
"CL"|Yes|"59704595"|"111721258"
"CL"|Yes|"59704594"|"111721257"
"CL"|Yes|"59704593"|"111721255"
"CL-ML"|No |"59704593"|"111721256"
"CL"|Yes|"59704592"|"111721254"
"CH"|No |"59704591"|"111721252"
"ML"|Yes|"59704591"|"111721253"
"CH"|No |"59704590"|"111721250"
"MH"|Yes|"59704590"|"111721251"
"CH"|No |"59704589"|"111721248"
"MH"|Yes|"59704589"|"111721249"
