"A"||"A"|||12|23|25|90|91|152|65|68|127|0|0|0|0|0|0|100|100|100|94|96|100|89|96|100|71|77|85|15|29|40|0|0|2|0|0|5|0|1|10|5|12|20|10|16|25|35|41|50|15|19|25|20|22|25|25|30|35|0|0|0|2|5|6||||1.3|1.35|1.45||||1.5|1.55|1.61||1.41|2.82|14.11|0.15|0.18|0.22||||29.9|33.8|36.5|16.1|22.4|26.8|38|43|45|3.4|4.7|6|39|51|58|17|21|24|10|17|24|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|2|20.8|25.5|29.5||||17.4|25.2|37.5|5.6|6.9|7.8|5.4|6.3|7.5|||||||1.6|5.6|10|||||||||||||||||||||"20344224"|"59704589"
"Ap"||"A"|||0|0|0|12|23|25|12|23|25|0|0|0|0|0|0|100|100|100|93|96|100|88|95|100|75|82|90|15|22|30|0|0|2|0|0|5|0|1|10|5|7|20|10|14|25|37|47|52|15|21|25|20|26|30|25|31|35|0|0|0|4|7|10||||0.95|1.15|1.3||||1.08|1.28|1.32||1.41|2.82|14.11|0.17|0.18|0.22||||29.6|33.4|36.5|15.7|21.6|26.7|42|49|57|2.8|3.7|4.6|43|55|65|17|21|24|12|20|28|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|2|21.4|26.6|30.1||||17.8|25.9|38.1|5.6|6.7|7.8|5.4|6.2|7.5|||||||2.3|7|11.4|||||||||||||||||||||"20344224"|"59704590"
"Bg"||"B"|||90|91|152|90|112|192|0|21|40|0|0|0|0|0|0|100|100|100|94|96|100|86|94|100|62|70|75|30|36|40|0|0|2|0|1|5|1|5|10|10|15|30|10|15|25|30|37|45|10|17|25|15|20|25|20|27|30|0|0|5|2|3|6||||1.35|1.4|1.6||||1.52|1.57|1.77||1.41|2.82|14.11|0.17|0.18|0.22||||28.3|32|35.6|13.9|19.2|25|34|42|45|1.6|3.8|4.4|33|43|52|11|16|21|4|10|17|".32"|".32"|0|0|5|0|0|0|0|0|0|0|0|2|17|21.8|22.7||||13.8|21|61.7|5.6|7|7.8|5.4|6.7|7.5|||||||1.1|4.2|9.2|||||||||||||||||||||"20344224"|"59704591"
"Cg"||"C"|||90|112|192|200|200|200|48|88|110|0|0|0|0|0|0|100|100|100|95|97|100|82|93|100|48|59|70|30|48|75|0|0|5|0|1|5|5|10|15|15|22|35|10|15|25|15|32|45|10|15|20|10|17|25|10|20|30|0|0|5|1|2|3||||1.5|1.6|1.7||||1.62|1.72|1.81||1.41|9.17|42.34|0.12|0.18|0.22||||23|29.7|34.8|7.7|15.5|23.4|31|35|40|0.6|2.3|4.2|21|34|46|3|12|21|0|4|14|".32"|".32"|0|10|20|0|0|0|0|0|0|0|0|2|8.9|17|21.2||||8|55.7|60.2|6.6|7|8.4|6.4|6.7|8|||||||0|3.3|5.3|||||||||||||||||||||"20344224"|"59704592"
"C"||"C"|||100|112|150|200|200|200|50|88|100|0|0|0|0|0|0|100|100|100|95|97|100|86|92|100|52|58|65|25|50|70|0|1|3|0|1|3|5|11|15|10|20|25|10|17|20|15|30|50|8|14|25|10|16|26|15|20|25|0|0|5|0|0.25|0.5||||1.5|1.6|1.7||||1.62|1.72|1.74|2.62|4.23|9.17|42.34|0.11|0.18|0.19||||24.6|27.9|30.9|9.3|12.9|16.7|33|37|41|1.1|2.3|2.8|24|31|36|7|13|17|0|4|8|".37"|".37"|0|0|10|0|0|0|0|0|0|0|0|2|10.9|15.7|16.2||||9.6|15.2|55.2|6.1|7|8.4|5.6|6.6|8|||||||0|2.6|5.2|||||||||||||||||||||"20344225"|"59704593"
"Ap"||"A"|||0|0|0|12|23|25|12|23|25|0|0|0|0|0|0|100|100|100|94|96|100|81|90|99|56|64|73|20|40|50|0|0|5|0|4|10|5|10|20|10|14|25|10|12|20|30|36|50|12|17|23|11|19|29|17|24|30|0|0|0|2|3.5|6||||1.2|1.3|1.4||||1.33|1.43|1.48|2.56|1.41|9.17|14.11|0.15|0.21|0.22||||26.1|30.2|34.3|10.9|16.3|22.5|41|45|50|1.8|3.1|4.4|32|41|52|11|16|21|3|8|16|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|2|14.7|20.5|25.6||||12.3|20.2|25.4|6.1|6.7|7.3|5.6|6.3|6.9|||||||2.3|5.1|8.2|||||||||||||||||||||"20344225"|"59704594"
"A"||"A"|||12|23|25|100|112|150|88|89|138|0|0|0|0|0|0|100|100|100|94|96|100|82|90|99|56|64|73|20|40|50|0|0|5|0|4|10|5|10|20|10|14|25|10|12|20|30|36|50|12|17|23|11|19|29|17|24|30|0|0|0|2|2.5|4||||1.3|1.35|1.45||||1.43|1.48|1.54|2.58|1.41|9.17|14.11|0.15|0.18|0.22||||26.4|29.8|33.5|11.3|15.7|21|40|44|47|1.8|3.1|4.4|32|39|48|11|15|21|3|8|15|".28"|".28"|0|0|5|0|0|0|0|0|0|0|0|2|14.7|20.3|25.2||||12.8|19.1|64.2|6.1|6.7|7.3|5.6|6.3|6.9|||||||2.3|4.7|7.4|||||||||||||||||||||"20344225"|"59704595"
"Cg"||"C"||||132|||152|||20||0|0|0|0|0|0|95|98|100|87|93|100|63|72|83|38|44|53|30|58|60||5.8|||13.9|||13.6|||15.2|||9.5|||26||||||||12|16|22||||0.5|1|2||||1.45|1.55|1.6||||1.46|1.56|1.63||10|28|100|0.11|0.15|0.17||||16.8|20.3|25|7.9|11.4|17.1|34|37|42|1.1|1.6|2.8|24|28|36|7|10|15|0|0|1|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|10.2|13.6|18.6||||8.9|13.1|18.3|6.1|6.7|7.3||||||||||1.2|3.4|6|||||||||||||||||||||"20344220"|"59704571"
"Ap"||"A"||||0|||20|||20||0|0|0|0|0|0|100|100|100|100|100|100|90|94|98|78|82|86|15|22|40||1.9|||2.7|||3.8|||6.9|||6.7|||47||||||||27|31|35||||5|6|7||||1.4|1.45|1.5||||1.6|1.65|1.72||1|3|10|0.2|0.21|0.22||||34.5|36.3|38|22.9|26.4|30|37|39|41|2.5|3.1|3.7|47|53|58|18|21|24|17|22|27|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|23.2|26.4|29.6||||20.6|25.9|29.4|6.1|6.7|7.3||||||||||4.3|6.6|9|||||||||||||||||||||"20344220"|"59704572"
"A1,A2"||"A"||||20|||81|||61||0|0|0|0|0|0|100|100|100|100|100|100|95|99|100|84|88|92|15|19|30||0.2|||0.5|||1.3|||5.5|||11.5|||50||||||||27|31|35||||4|4.5|5||||1.4|1.45|1.5||||1.6|1.65|1.72||1|3|10|0.2|0.21|0.22||||33.4|35|36.4|20.8|23.7|26.5|38|40|42|3.8|4.6|5.5|45|50|55|18|21|24|12|18|25|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|23|26.1|29.3||||20.8|25.3|28.8|6.1|6.7|7.3||||||||||3.9|6.1|8.2|||||||||||||||||||||"20344220"|"59704573"
